문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
43,분산 데이터베이스 시스템과 관련한 설명으로 틀린 것은?,물리적으로 분산된 데이터베이스 시스템을 논리적으로 하나의 데이터베이스 시스템처럼 사용할 수 있도록 한 것이다.,물리적으로 분산되어 지역별로 필요한 데이터를 처리할 수 있는 지역 컴퓨터(Local Computer)를 분산 처리기(Distributed Processor)라고 한다.,분산 데이터베이스 시스템을 위한 통신 네트워크 구조가 데이터 통신에 영향을 주므로 효율적으로 설계해야 한다.,데이터베이스가 분산되어 있음을 사용자가 인식할 수 있도록 분산 투명성(Distribution Transparency)을 배제해야 한다.,2,"분산 데이터베이스 시스템, 분산 투명성, ",분산 데이터베이스 시스템은 물리적으로 분산된 데이터베이스 시스템을 논리적으로 하나의 데이터베이스 시스템처럼 사용할 수 있도록 하는 시스템이다. 분산 투명성은 사용자가 데이터베이스가 분산되어 있음을 인식할 수 없도록 하는 것을 의미한다.,3,2
44,"다음 테이블을 보고 강남지점의 판매량이 많은 제품부터 출력되도록 할 때 다음 중 가장 적절한 SQL 구문은? (단, 출력은 제품명과 판매량이 출력되도록 한다.)","SELECT 제품명, 판매량 FROM 푸드
ORDER BY 판매량 ASC;","SELECT 제품명, 판매량 FROM 푸드
ORDER BY 판매량 DESC;","SELECT 제품명, 판매량 FROM 푸드
WHERE 지점명 = '강남지점'
ORDER BY 판매량 ASC;","SELECT 제품명, 판매량 FROM 푸드
WHERE 지점명 = '강남지점'
ORDER BY 판매량 DESC;",1,"ORDER BY, DESC, ","ORDER BY는 결과를 정렬할 때 사용하는 SQL 구문이며, DESC는 내림차순 정렬을 의미한다. 따라서, 강남지점의 판매량이 많은 제품부터 출력하려면 ORDER BY 판매량 DESC 구문을 사용해야 한다. 따라서 선지 2가 가장 적절한 SQL 구문이다.",3,2
45,데이터베이스의 인덱스와 관련한 설명으로 틀린 것은?,"문헌의 색인, 사전과 같이 데이터를 쉽고 빠르게 찾을 수 있도록 만든 데이터 구조이다.",테이블에 붙여진 색인으로 데이터 검색 시 처리 속도 향상에 도움이 된다.,"인덱스의 추가, 삭제 명령어는 각각 ADD, DELETE이다.",대부분의 데이터베이스에서 테이블을 삭제하면 인덱스도 같이 삭제된다.,1,"인덱스, 데이터 검색, ","데이터베이스의 인덱스는 데이터를 쉽고 빠르게 찾을 수 있도록 만든 데이터 구조이며, 테이블에 붙여진 색인으로 데이터 검색 시 처리 속도를 향상시켜준다. 인덱스의 추가, 삭제 명령어는 각각 ADD, DELETE이지만, 대부분의 데이터베이스에서 테이블을 삭제하더라도 인덱스는 같이 삭제되",3,2
46,물리적 데이터베이스 구조의 기본 데이터 단위인 저장 레코드의 양식을 설계할 때 고려 사항이 아닌 것은?,데이터 타입,데이터 값의 분포,트랜잭션 모델링,접근 빈도,4,"저장 레코드, 데이터 타입, ","저장 레코드의 양식을 설계할 때 고려해야 하는 사항 중 ""트랜잭션 모델링""이 데이터베이스의 논리적 구조를 설계할 때 고려하는 부분이며, 물리적 데이터베이스 구조의 기본 데이터 단위인 저장 레코드의 양식을 설계할 때에는 주로 데이터 타입, 데이터 값의 분포, 그리고",3,2
47,SQL의 기능에 따른 분류 중에서 REVOKE문과 같이 데이터의 사용 권한을 관리하는데 사용하는 언어는?,DDL(Data Definition Language),DML(Data Manipulation Language),DCL(Data Control Language),DUL(Data User Language),4,"데이터의 사용 권한, 권한을 관리","REVOKE문은 데이터의 사용 권한을 관리하는데 사용되는데, 이는 데이터의 접근 권한을 제어하는 기능이므로 데이터 제어 언어(DCL)에 해당한다. DCL은 데이터베이스에 대한 접근 권한을 부여하거나 박탈하는 등의 작업을 수행하는 언어이다.",3,2
48,데이터 사전에 대한 설명으로 틀린 것은?,시스템 카탈로그 또는 시스템 데이터베이스라고도 한다.,"데이터 사전 역시 데이터베이스의 일종이므로 일반 사용자가 생성, 유지 및 수정 할 수 있다.",데이터베이스에 대한 데이터인 메타데이터(Metadata)를 저장하고 있다.,데이터 사전에 있는 데이터에 실제로 접근하는 데 필요한 위치 정보는 데이터 디렉토리(Data Directory)라는 곳에서 관리한다.,3,"데이터 사전, 일반 사용자, ","데이터 사전은 일반 사용자가 생성, 유지 및 수정할 수 있는 데이터베이스의 일종이 아니라, 주로 데이터베이스에 대한 메타데이터를 저장하고 있는 시스템 카탈로그 또는 시스템 데이터베이스이다.",3,2
49,데이터베이스에서 릴레이션에 대한 설명으로 틀린 것은?,모든 튜플은 서로 다른 값을 가지고 있다.,하나의 릴레이션에서 튜플은 특정한 순서를 가진다.,각 속성은 릴레이션 내에서 유일한 이름을 가진다.,모든 속성 값은 원자 값(atomic value)을 가진다.,3,"튜플, 속성 값, ","틀린 설명은 ""모든 튜플은 서로 다른 값을 가지고 있다.""이다. 튜플은 각각의 속성 값들의 조합으로 이루어지기 때문에 모든 튜플이 서로 다른 값을 가져야 하는 것은 아니다.",3,2
50,데이터베이스에서의 뷰(View)에 대한 설명으로 틀린 것은?,뷰는 다른 뷰를 기반으로 새로운 뷰를 만들 수 있다.,"뷰는 일종의 가상 테이블이며, update에는 제약이 따른다.",뷰는 기본 테이블을 만드는 것처럼 create view를 사용하여 만들 수 있다.,뷰는 논리적으로 존재하는 기본 테이블과 다르게 물리적으로만 존재하며 카탈로그에 저장된다.,3,"update 제약, ","뷰는 일종의 가상 테이블이며, update에는 제약이 따른다. 뷰는 기본 테이블의 데이터를 조회하는 용도로 사용되는데, 뷰가 기본 테이블의 데이터를 수정할 수 있는 경우가 제한적이기 때문에 update에는 제약이 따른다. 따라서 뷰를 통해 수정된 데이터는 실제 기본 테이블에 반영되지 않을 수",3,2
51,"트랜잭션의 상태 중 트랜잭션의 마지막 연산이 실행된 직후의 상태로, 모든 연산의 처리는 끝났지만 트랜잭션이 수행한 최종 결과를 데이터베이스에 반영하지 않은 상태는?",Active,Partially Committed,Committed,Aborted,2,"Partially Committed, ","Partially Committed 상태는 모든 연산의 처리가 끝난 후, 트랜잭션이 수행한 최종 결과를 데이터베이스에 반영하지 않은 상태를 나타냅니다. 이 상태에서는 트랜잭션이 아직 완전히 완료되지 않았고, 데이터베이스에 변경이 일부만 반영된 상태입니다.",3,2
52,"SQL의 명령을 사용 용도에 따라 DDL, DML, DCL로 구분할 경우, 그 성격이 나머지 셋과 다른 것은?",SELECT,UPDATE,INSERT,GRANT,4,"GRANT, ","GRANT은 DCL(Data Control Language)에 속하는 명령으로, 데이터베이스 사용자에게 특정 권한을 부여하는 역할을 합니다. 따라서 DDL(Data Definition Language), DML(Data Manipulation Language)과는 성격이 다릅니다.",3,2
53,키의 종류 중 유일성과 최소성을 만족하는 속성 또는 속성들의 집합은?,Atomic key,Super key,Candidate key,Test key,3,"키의 종류, 유일성, 최소성, ",- 키의 종류 중 유일성과 최소성을 만족하는 속성 또는 속성들의 집합을 나타내는 것은 후보키(candidate key)입니다. 후보키는 테이블에서 각 튜플을 식별할 수 있는 유일성과 최소성을 가지고 있어야 합니다. 후보키 중에서도 최소성을 가진 후보키를 기본키(primary key)로 선택하여 사용할 수 있습니다.,3,2
54,데이터베이스에서 개념적 설계 단계에 대한 설명으로 틀린 것은?,산출물로 E-R Diagram을 만들 수 있다.,DBMS에 독립적인 개념 스키마를 설계한다.,트랜잭션 인터페이스를 설계 및 작성한다.,논리적 설계 단계의 앞 단계에서 수행된다.,3,논리적 설계 단계,"논리적 설계 단계는 개념적 설계 단계 이후에 수행되며, DBMS에 독립적인 개념 스키마를 설계하여 데이터 모델을 구체화하는 단계이다. 따라서, ""논리적 설계 단계의 앞 단계에서 수행된다""는 설명이 틀린 설명이다.",3,2
55,테이블의 기본키(Primary Key)로 지정된 속성에 관한 설명으로 가장 거리가 먼 것은?,NOT NULL로 널 값을 가지지 않는다.,릴레이션에서 튜플을 구별할 수 있다.,외래키로 참조될 수 있다.,검색할 때 반드시 필요하다.,4,"외래키, 검색, ","외래키로 참조될 수 있다는 것은 다른 테이블과의 관계를 설정할 수 있다는 의미이며, 이는 기본키가 아닌 다른 속성이 외래키로 지정될 수 있다는 것을 나타냅니다. 따라서, 기본키로 지정된 속성에 대한 설명으로 가장 거리가 먼 것은 ""외래키로 참조될 수 있다"" 입니다.",3,2
56,데이터 모델의 구성 요소 중 데이터 구조에 따라 개념 세계나 컴퓨터 세계에서 실제로 표현된 값들을 처리하는 작업을 의미하는 것은?,Relation,Data Structure,Constraint,Operation,4,"데이터 구조, 값들을 처리하는 작업","데이터 모델의 구성 요소 중 데이터 구조는 값들을 저장하고 조직화하는 방법을 정의하며, 이를 통해 실제로 표현된 값들을 효율적으로 처리할 수 있게 해줍니다. 데이터 구조는 개념 세계나 컴퓨터 세계에서 실제로 다루는 값들을 구조화하여 관리하는 역할을 합니다.",3,2
57,"다음 [조건]에 부합하는 SQL문을 작성하고자 할 때, [SQL문]의 빈칸에 들어갈 내용으로 옳은 것은? (단, '팀코드' 및 '이름'은 속성이며, '직원'은 테이블이다.)",WHERE 이름 = '정도일',"SELECT 팀코드 FROM 이름
WHERE 직원 = '정도일'",WHERE 직원 = '정도일',"SELECT 팀코드 FROM 직원
WHERE 이름 = '정도일'",4,"WHERE, SELECT, ","WHERE 절은 조건을 지정하여 특정 레코드를 필터링하는 역할을 하며, SELECT 절은 원하는 열(속성)을 선택하여 조회하는 역할을 한다. 따라서, SQL문에서는 WHERE 절에 조건을 지정하고, SELECT 절에 조회할 열을 지정해야 한다.",3,2
58,무결성 제약조건 중 개체 무결성 제약조건에 대한 설명으로 옳은 것은?,릴레이션 내의 튜플들이 각 속성의 도메인에 정해진 값만을 가져야 한다.,기본키는 NULL 값을 가져서는 안되며 릴레이션 내에 오직 하나의 값만 존재해야 한다.,자식 릴레이션의 외래키는 부모 릴레이션의 기본키와 도메인이 동일해야 한다.,자식 릴레이션의 값이 변경될 때 부모 릴레이션의 제약을 받는다.,2,"개체 무결성 제약조건, ","개체 무결성 제약조건은 릴레이션 내의 각 튜플이 유일한 값을 가져야 한다는 제약을 의미합니다. 즉, 기본키는 NULL 값을 허용하지 않고, 릴레이션 내에서 중복되지 않는 값이어야 합니다.",3,2
59,관계 데이터 모델에서 릴레이션(Relation)에 포함되어 있는 튜플(Tuple)의 수를 무엇이라고 하는가?,Degree,Cardinality,Attribute,Cartesian product,2,"튜플(Tuple), 수(Cardinality), ",릴레이션에 포함되어 있는 튜플의 수를 나타내는 것을 카디널리티(Cardinality)라고 합니다. 이는 해당 릴레이션의 크기나 데이터의 양을 나타내는 중요한 지표입니다.,3,2
60,사용자 'PARK'에게 테이블을 생성할 수 있는 권한을 부여하기 위한 SQL문의 구성으로 빈칸에 적합한 내용은?,CREATE TABLE TO,CREATE TO,CREATE FROM,"CREATE TABLE FROM

4과목 : 프로그래밍 언어 활용",1,"CREATE TABLE, ",SQL에서 'CREATE TABLE'은 새로운 테이블을 생성하는 명령어이다. 사용자 'PARK'에게 테이블을 생성할 수 있는 권한을 부여하기 위해서는 'CREATE TABLE' 명령어를 사용해야 한다.,3,2
61,C언어에서 문자열 처리 함수의 서식과 그 기능의 연결로 틀린 것은?,strlen(s) - s의 길이를 구한다.,"strcpy(s1, s2) - s2를 s1으로 복사한다.","strcmp(s1, s2) - s1과 s2를 연결한다.",strrev(s)－s를 거꾸로 변환한다.,3,"문자열 처리 함수, 서식","문자열 처리 함수들은 문자열을 다루는데 사용되며, 각 함수는 특정 기능을 수행한다. 서식은 문자열을 다루는 방식이나 형태를 나타내는 것을 의미한다. 따라서, strcmp(s1, s2) - s1과 s2를 연결한다는 설명은 틀린 설명이다. strcmp 함수는 s1과 s2를 비교하여 같으면 0을 반환하고 다르면 0이 아",4,2
62,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는?",0,2,5,14,2,"포인터, ","이 프로그램은 포인터를 사용하여 변수에 값을 할당하고 출력하는 예제입니다. 포인터를 사용하여 변수 num에 5를 할당하고, 그 값을 출력하므로 실행 결과는 5가 됩니다. 따라서, 선지 3: ５가 정답입니다.",4,2
63,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는?",30,60,80,120,2,"포인터, 증가 연산자, ","이 프로그램은 포인터와 증가 연산자를 사용하여 변수의 값을 변경하는 예제이다. 포인터 변수 ptr은 변수 num의 주소를 가리키고 있고, ptr이 가리키는 값을 30으로 변경한 후에 ptr을 증가시켜서 num의 값을 60으로 변경한다. 최종적으로 num의 값은 60이 된다.",4,2
64,IP 프로토콜에서 사용하는 필드와 해당 필드에 대한 설명으로 틀린 것은?,Header Length는 IP 프로토콜의 헤더 길이를 32비트 워드 단위로 표시한다.,Packet Length는 IP 헤더를 제외한 패킷 전체의 길이를 나타내며 최대 크기는 232－1비트이다.,Time To Live는 송신 호스트가 패킷을 전송하기 전 네트워크에서 생존할 수 있는 시간을 지정한 것이다.,Version Number는 IP 프로토콜의 버전번호를 나타낸다.,2,"Packet Length, 최대 크기",IP 패킷의 전체 길이를 나타내는 Packet Length 필드는 최대 크기가 2^32-1 비트가 아닌 2^16-1 비트이다. 따라서 선지 2가 틀린 설명이다.,4,2
65,"다음 Python 프로그램의 실행 결과가 [실행결과]와 같을 때, 빈칸에 적합한 것은?",either,elif,else if,else,2,"elif, ","이 프로그램은 조건문을 사용하여 변수 num의 값에 따라 다른 메시지를 출력하는 프로그램이다. 첫 번째 조건문에서는 num이 10보다 작을 때 ""smaller than 10""을 출력하고, 두 번째 조건문에서는 num이 20보다 작을 때 ""smaller than 20""을 출력한다. 따라서 두 번째 조건문은 첫 번째 조건문이 참이 아닐 때 실행되어야 하므로 빈",4,2
66,RIP 라우팅 프로토콜에 대한 설명으로 틀린 것은?,경로 선택 메트릭은 홉 카운트(hop count)이다.,라우팅 프로토콜을 IGP와 EGP로 분류했을 때 EGP에 해당한다.,최단 경로 탐색에 Bellman-Ford 알고리즘을 사용한다.,각 라우터는 이웃 라우터들로부터 수신한 정보를 이용하여 라우팅 표를 갱신한다.,2,"RIP 라우팅 프로토콜, EGP, ","RIP 라우팅 프로토콜은 경로 선택 메트릭으로 홉 카운트를 사용하고, 최단 경로 탐색에는 Bellman-Ford 알고리즘을 사용합니다. 그러나, 라우팅 프로토콜을 IGP와 EGP로 분류했을 때 RIP은 IGP에 해당하며, EGP는 다른 프로토콜들을 가리키는 용어입니다.",4,2
67,다음에서 설명하는 프로세스 스케줄링은?,FIFO 스케줄링,RR 스케줄링,HRN 스케줄링,MQ 스케줄링,3,"프로세스 스케줄링, ","프로세스 스케줄링은 컴퓨터 시스템에서 실행할 프로세스를 결정하고 관리하는 것을 말합니다. 이는 CPU 자원을 효율적으로 활용하기 위해 필요한 작업으로, 다양한 스케줄링 알고리즘이 존재합니다. 각 스케줄링 알고리즘은 다양한 방식으로 프로세스를 관리",4,2
68,UNIX 운영체제에 관한 특징으로 틀린 것은?,하나 이상의 작업에 대하여 백그라운드에서 수행이 가능하다.,Multi-User는 지원하지만 Multi-Tasking은 지원하지 않는다.,트리 구조의 파일 시스템을 갖는다.,이식성이 높으며 장치 간의 호환성이 높다.,2,Multi-Tasking,UNIX 운영체제는 Multi-Tasking을 지원한다. Multi-Tasking은 하나의 시스템이 동시에 여러 작업을 수행할 수 있는 기능을 의미한다. 따라서 선지 2가 틀린 설명이다.,4,2
69,UDP 프로토콜의 특징이 아닌 것은?,비연결형 서비스를 제공한다.,단순한 헤더 구조로 오버헤드가 적다.,"주로 주소를 지정하고, 경로를 설정하는 기능을 한다.",TCP와 같이 트랜스포트 계층에 존재한다.,3,"주소, 경로, ","UDP 프로토콜은 주로 주소를 지정하고, 경로를 설정하는 기능을 하지 않는다. 이는 UDP가 비연결형 서비스를 제공하고, 단순한 헤더 구조로 오버헤드가 적다는 특징과도 관련이 있다. TCP와는 달리 UDP는 경로 설정이나 주소 지정을 하지 않고 데이터를 보내기 때문에 경로 설정과 주소 지정이 필요한 경우",4,2
70,Python 데이터 타입 중 시퀀스(Sequence) 데이터 타입에 해당하며 다양한 데이터 타입들을 주어진 순서에 따라 저장할 수 있으나 저장된 내용을 변경할 수 없는 것은?,복소수(complex) 타입,리스트(list) 타입,사전(dict) 타입,튜플(tuple) 타입,4,"시퀀스 데이터 타입, 변경 불가능, ","시퀀스 데이터 타입 중에서 저장된 내용을 변경할 수 없는 데이터 타입은 불변(immutable)한 데이터 타입이다. 이에 해당하는 데이터 타입은 튜플(tuple)이며, 한 번 생성된 튜플은 그 내용을 변경할 수 없다. 따라서 튜플은 시퀀스 데이터 타입 중에서 변경 불가능한 특성을 가지고 있다.",4,2
71,"다음 JAVA 프로그램이 실행되었을 때, 실행결과는?",1 2 3 4,0 1 2 3,1 2 3,0 1 2,2,"배열, 반복문, ","이 프로그램은 배열을 선언하고 초기화한 후, 반복문을 사용하여 배열의 요소를 출력하는 프로그램이다. 따라서 배열의 크기만큼 반복하면서 배열의 요소가 순서대로 출력되므로, 실행 결과는 ""0 1 2 3""이다.",4,2
72,다음 JAVA 프로그램이 실행되었을 때의 결과는?,1,2,3,4,3,"반복문, 변수, ","주어진 프로그램은 for 반복문을 사용하여 변수 i를 0부터 3까지 증가시키면서 출력하는 프로그램이다. 따라서 프로그램이 실행될 때 결과는 0, 1, 2, 3이 순서대로 출력되며, 따라서 ""선지 3: 3""이 정답이다.",4,2
73,다음 중 Myers가 구분한 응집도(Cohesion)의 정도에서 가장 낮은 응집도를 갖는 단계는?,순차적 응집도(Sequential Cohesion),기능적 응집도(Functional Cohesion),시간적 응집도(Temporal Cohesion),우연적 응집도(Coincidental Cohesion),4,우연적 응집도(Coincidental Cohesion),Myers가 제시한 응집도의 단계 중에서 우연적 응집도는 가장 낮은 수준의 응집도를 나타냅니다. 이는 프로그램 모듈이 서로 관련이 없는 기능들을 단순히 묶어 놓은 상태를 의미합니다. 이러한 경우 모듈의 재사용성이 낮고 유지보수가 어,4,2
74,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는?",0,1,2,3,2,"포인터, 연산, ","이 프로그램은 포인터 변수 ptr을 선언하고, ptr에 2를 저장한 후에 ptr을 1 증가시키는 연산을 수행한다. 그 결과로 ptr이 가리키는 값은 3이 되므로, 실행 결과는 3이다.",4,2
75,IP 프로토콜의 주요 특징에 해당하지 않는 것은?,체크섬(Checksum) 기능으로 데이터 체크섬(Data Checksum)만 제공한다.,"패킷을 분할, 병합하는 기능을 수행하기도 한다.",비연결형 서비스를 제공한다.,Best Effort 원칙에 따른 전송 기능을 제공한다.,1,"체크섬(Checksum), ","IP 프로토콜은 데이터 체크섬을 제공하지만, 패킷 분할 및 병합, 비연결형 서비스, Best Effort 원칙에 따른 전송 기능을 제공하는 특징을 가지고 있습니다. 따라서 '체크섬(Checksum) 기능으로 데이터 체크섬(Data Checksum)만 제공한다'는 설명이 IP 프로토콜의 주요 특징",4,2
76,"4개의 페이지를 수용할 수 있는 주기억장치가 있으며, 초기에는 모두 비어 있다고 가정한다. 다음의 순서로 페이지 참조가 발생할 때, LRU 페이지 교체 알고리즘을 사용할 경우 몇 번의 페이지 결함이 발생하는가?",5회,6회,7회,8회,1,"LRU 페이지 교체 알고리즘, 페이지 결함, ","LRU 페이지 교체 알고리즘은 가장 오랫동안 참조되지 않은 페이지를 교체하는 알고리즘으로, 페이지 결함이 발생하게 되는 상황에서 페이지를 교체한다. 페이지 결함은 주기억장치에 참조되어야 할 페이지가 없는 상황을 의미하며, LRU 알고리즘을 사용할 경우 페이지 결함이 발생할 횟수를 예",4,2
77,사용자 수준에서 지원되는 스레드(thread)가 커널에서 지원되는 스레드에 비해 가지는 장점으로 옳은 것은?,한 프로세스가 운영체제를 호출할 때 전체 프로세스가 대기할 필요가 없으므로 시스템 성능을 높일 수 있다.,동시에 여러 스레드가 커널에 접근할 수 있으므로 여러 스레드가 시스템 호출을 동시에 사용할 수 있다.,각 스레드를 개별적으로 관리할 수 있으므로 스레드의 독립적인 스케줄링이 가능하다.,커널 모드로의 전환 없이 스레드 교환이 가능하므로 오버헤드가 줄어든다.,4,독립적인 스케줄링,"사용자 수준에서 지원되는 스레드는 각 스레드를 개별적으로 관리할 수 있어서, 스레드의 독립적인 스케줄링이 가능하다. 이는 각 스레드가 자원을 효율적으로 활용하고, 프로세스 전체가 대기하지 않고 시스템 호출을 할 수 있게 해준다.",4,2
78,한 모듈이 다른 모듈의 내부 기능 및 그 내부 자료를 참조하는 경우의 결합도는?,내용 결합도(Content Coupling),제어 결합도(Control Coupling),공통 결합도(Common Coupling),스탬프 결합도(Stamp Coupling),1,결합도,"결합도는 모듈 간 상호 의존성의 정도를 나타내는데, 다른 모듈의 내부 기능이나 자료를 참조하는 경우 제어 결합도(Control Coupling)가 발생한다. 이는 한 모듈이 다른 모듈의 실행 흐름을 제어하거나 의사 결정을 하는 경우를 의미한다.",4,2
79,"a[0]의 주소값이 10일 경우 다음 C언어 프로그램이 실행되었을 때의 결과는? (단, int 형의 크기는 4Byte로 가정한다.)","14, 10","14, 14","18, 10","18, 14",3,"배열, 주소값, ","배열의 첫 번째 요소인 a[0]의 주소값이 10이므로, 해당 배열은 메모리의 10번지부터 시작된다. int형의 크기가 4Byte이므로 a[1]은 4Byte 뒤인 14번지부터 시작된다. 따라서 프로그램이 실행될 때 a[1]의 주소값은 14가 되고, 결과는 14, 10이 된다. 따라서 정답은 '선지 1",4,2
80,모듈화(Modularity)와 관련한 설명으로 틀린 것은?,시스템을 모듈로 분할하면 각각의 모듈을 별개로 만들고 수정할 수 있기 때문에 좋은 구조가 된다.,응집도는 모듈과 모듈 사이의 상호의존 또는 연관 정도를 의미한다.,모듈 간의 결합도가 약해야 독립적인 모듈이 될 수 있다.,"모듈 내 구성 요소들 간의 응집도가 강해야 좋은 모듈 설계이다.

5과목 : 정보시스템 구축관리",2,"모듈화(Modularity), ","모듈화는 시스템을 작은 모듈로 분할하여 각각의 모듈을 독립적으로 만들고 수정할 수 있는 것을 의미한다. 이를 통해 시스템의 유지보수가 용이해지고, 코드의 재사용성이 높아지며, 시스템의 확장이나 변경이 쉬워지는 장점이 있다. 모듈 간의 결합도가 약하고,",4,2
81,소프트웨어 개발에서 정보보안 3요소에 해당 하지 않는 설명은?,기밀성 : 인가된 사용자에 대해서만 자원 접근이 가능하다.,무결성 : 인가된 사용자에 대해서만 자원 수정이 가능하며 전송중인 정보는 수정되지 않는다.,가용성 : 인가된 사용자는 가지고 있는 권한 범위 내에서 언제든 자원 접근이 가능하다.,휘발성 : 인가된 사용자가 수행한 데이터는 처리 완료 즉시 폐기 되어야 한다.,4,"휘발성, 데이터 폐기, ","휘발성은 데이터나 정보가 처리가 완료되면 즉시 폐기되어야 한다는 개념을 나타냅니다. 이는 보안을 위해 중요한 요소 중 하나로, 데이터가 불필요하게 오랫동안 보관되지 않도록 하는 것이 중요합니다. 이는 개인정보 보호법 등의 규정에도 많이 나타나는 개념입니다. 위의 설명 중 휘발성에 해당하지 않",5,2
82,"어떤 외부 컴퓨터가 접속되면 접속 인가 여부를 점검해서 인가된 경우에는 접속이 허용되고, 그 반대의 경우에는 거부할 수 있는 접근제어 유틸리티는?",tcp wrapper,trace checker,token finder,change detector,1,"접속 인가 여부, 접근제어, ","주어진 외부 컴퓨터의 접속을 허용 또는 거부하는 접근제어 유틸리티는 tcp wrapper이다. 이 유틸리티는 접속 요청이 들어오면 접속 인가 여부를 점검하여 인가된 경우에는 접속을 허용하고, 그 반대의 경우에는 접속을 거부하는 역할",5,2
83,기기를 키오스크에 갖다 대면 원하는 데이터를 바로 가져올 수 있는 기술로 10㎝ 이내 근접 거리에서 기가급 속도로 데이터 전송이 가능한 초고속 근접무선통신(NFC : Near Field Communication) 기술은?,BcN(Broadband Convergence Network),Zing,Marine Navi,C-V2X(Cellular Vehicle To Everything),2,NFC(Near Field Communication),"NFC 기술은 10㎝ 이내 근접 거리에서 기가급 속도로 데이터를 전송할 수 있는 기술로, 기기를 키오스크에 갖다 대면 즉시 데이터를 가져올 수 있게 해줍니다. NFC는 간단한 정보 교환 및 결제 시스템에 주로 사용되며, 스마트폰이나 기타 전자 기기에서 널리 사용되고 있습니다.",5,2
84,취약점 관리를 위한 응용 프로그램의 보안 설정과 가장 거리가 먼 것은?,서버 관리실 출입 통제,실행 프로세스 권한 설정,운영체제의 접근 제한,운영체제의 정보 수집 제한,1,"보안 설정, ","취약점 관리를 위한 응용 프로그램의 보안 설정과 가장 거리가 먼 것은 서버 관리실 출입 통제입니다. 서버 관리실 출입 통제는 물리적 보안에 해당하며, 보안 설정은 주로 소프트웨어 및 네트워크 관련 설정을 의미합니다. 따라서, 서버 관리실 출입 통제는 취약점 관리",5,2
85,소프트웨어 개발 프레임워크와 관련한 설명으로 가장 적절하지 않은 것은?,반제품 상태의 제품을 토대로 도메인별로 필요한 서비스 컴포넌트를 사용하여 재사용성 확대와 성능을 보장 받을 수 있게 하는 개발 소프트웨어이다.,"라이브러리와는 달리 사용자 코드에서 프레임워크를 호출해서 사용하고, 그에 대한 제어도 사용자 코드가 가지는 방식이다.",설계 관점에 개발 방식을 패턴화시키기 위한 노력의 결과물인 소프트웨어 디자인 패턴을 반제품 소프트웨어 상태로 집적화시킨 것으로 볼 수 있다.,프레임워크의 동작 원리를 그 제어 흐름의 일반적인 프로그램 흐름과 반대로 동작한다고 해서 IoC(Inversion of Control)이라고 설명하기도 한다.,2,소프트웨어 개발 프레임워크,"소프트웨어 개발 프레임워크는 개발자가 필요한 기능을 제공해주고, 개발 방식을 표준화하여 개발 속도를 향상시키는 도구이다. 이를 통해 재사용성이 높아지고 성능을 보장받을 수 있다.",5,2
86,클라우드 기반 HSM(Cloud-based Hardware Security Module)에 대한 설명으로 틀린 것은?,"클라우드(데이터센터) 기반 암호화 키 생성, 처리, 저장 등을 하는 보안 기기이다.",국내에서는 공인인증제의 폐지와 전자서명법 개정을 추진하면서 클라우드 HSM 용어가 자주 등장하였다.,클라우드에 인증서를 저장하므로 기존 HSM 기기나 휴대폰에 인증서를 저장해 다닐 필요가 없다.,하드웨어가 아닌 소프트웨어적으로만 구현되기 때문에 소프트웨어식 암호 기술에 내재된 보안 취약점을 해결할 수 없다는 것이 주요 단점이다.,4,"클라우드 HSM, 소프트웨어적 구현, ","클라우드 HSM은 클라우드 기반의 하드웨어 보안 모듈로, 보안 키 생성, 처리, 저장 등을 담당하는 기기이다. 하지만 클라우드 HSM은 소프트웨어적으로만 구현되는 것이 아니라 하드웨어적인 요소도 포함되어 있기 때문에, 소프트웨어식 암호 기술의 보안",5,2
87,다음 내용이 설명하는 기술로 가장 적절한 것은?,Virtual Local Area Network,Simple Station Network,Mesh Network,Modem Network,3,"네트워크, 가상",Virtual Local Area Network은 네트워크를 가상적으로 분할하여 효율적인 통신을 가능하게 하는 기술이다. VLAN은 하나의 물리적인 네트워크를 여러 개의 가상 네트워크로 나누어 관리할 수 있게 해준다.,5,2
88,물리적 위협으로 인한 문제에 해당하지 않는 것은?,"화재, 홍수 등 천재지변으로 인한 위협","하드웨어 파손, 고장으로 인한 장애","방화, 테러로 인한 하드웨어와 기록장치를 물리적으로 파괴하는 행위","방화벽 설정의 잘못된 조작으로 인한 네트워크, 서버 보안 위협",4,물리적 위협,"물리적 위협은 주로 화재, 홍수, 하드웨어 파손 등과 같이 물리적인 요인에 의해 시스템이나 데이터가 손상을 입는 것을 말한다. 따라서 방화벽 설정의 잘못된 조작과 같이 물리적 요인이 아닌 경우는 물리적 위협으로 분류되지 않는다.",5,2
