문제번호,문제,선지 1,선지 2,선지 3,선지 4,정답,키워드,해설,과목,회차
51,CREATE TABLE문에 포함되지 않는 기능은?,속성 타입 변경,속성의 NOT NULL 여부 지정,기본키를 구성하는 속성 지정,CHECK 제약조건의 정의,1,CHECK 제약조건,"CREATE TABLE문에는 CHECK 제약조건을 정의할 수 없습니다. CHECK 제약조건은 ALTER TABLE문을 사용하여 추가할 수 있습니다. CHECK 제약조건은 특정 속성의 값이 특정 조건을 만족해야 할 때 사용되며, 데이터 무결성을 유지하는 데 도움이 됩니다.",3,1
52,SQL과 관련한 설명으로 틀린 것은?,REVOKE 키워드를 사용하여 열 이름을 다시 부여할 수 있다.,"데이터 정의어는 기본 테이블, 뷰 테이블, 또는 인덱스 등을 생성, 변경, 제거하는데 사용되는 명령어이다.",DISTINCT를 활용하여 중복 값을 제거할 수 있다.,JOIN을 통해 여러 테이블의 레코드를 조합하여 표현할 수 있다.,1,"REVOKE, 데이터 정의어, ","REVOKE 키워드는 열 이름을 다시 부여하는 것이 아닌, 권한을 취소하는 데 사용된다. 데이터 정의어는 데이터베이스 구조를 정의하거나 변경하는 명령어로, 테이블, 뷰, 인덱스 등을 생성, 변경, 제거하는 데 사용된다.",3,1
53,다음 SQL문의 실행결과로 생성되는 튜플 수는?,1,3,4,5,4,"SQL, 실행결과, ","주어진 SQL문을 실행하여 생성되는 튜플 수를 구하는 문제이다. SQL문의 내용에 따라 결과가 달라지므로, 주어진 SQL문을 분석하여 실행결과를 예측해야 한다.",3,1
54,다음 SQL문에서 사용된 BETWEEN 연산의 의미와 동일한 것은?,점수 ＞= 90 AND 점수 ＜= 95,점수 ＞ 90 AND 점수 ＜ 95,점수 ＞ 90 AND 점수 ＜= 95,점수 ＞= 90 AND 점수 ＜ 95,1,BETWEEN 연산,"BETWEEN 연산은 특정 범위의 값들을 선택하는데 사용되며, 해당 범위에는 시작 값과 끝 값이 모두 포함된다. 따라서, BETWEEN 연산은 선지 1과 같이 점수가 90 이상이고 95 이하인 값을 선택하는 것과 동일한 의미를 가진다.",3,1
55,트랜잭션의 상태 중 트랜잭션의 수행이 실패하여 Rollback 연산을 실행한 상태는?,철회(Aborted),부분 완료(Partially Committed),완료(Commit),실패(Fail),1,"Rollback 연산, 실패, ",Rollback 연산을 실행하여 트랜잭션의 수행이 실패한 상태는 Aborted(철회) 상태입니다. 이는 트랜잭션이 부분적으로 실행되거나 완료되지 않고 중간에 중단된 상태를 의미합니다.,3,1
56,데이터 제어어(DCL)에 대한 설명으로 옳은 것은?,ROLLBACK : 데이터의 보안과 무결성을 정의한다.,COMMIT : 데이터베이스 사용자의 사용 권한을 취소한다.,GRANT : 데이터베이스 사용자의 사용 권한을 부여한다.,REVOKE : 데이터베이스 조작 작업이 비정상적으로 종료되었을 때 원래 상태로 복구한다.,3,"데이터 제어어(DCL), 권한, ","데이터 제어어(DCL)는 데이터베이스 사용자의 권한을 관리하는 역할을 한다. GRANT는 사용자에게 권한을 부여하는 역할을 하고, REVOKE는 권한을 취소하는 역할을 한다. 이에 따라, 선지 3과 선지 4가 옳은 설명이다.",3,1
57,"테이블 R과 S에 대한 SQL에 대한 SQL문이 실행되었을 때, 실행결과로 옳은 것은?",,,,,4,"- SQL, - 테이블 R과 S, ","SQL문이 실행되었을 때, 테이블 R과 S에 대한 조인이 이루어질 것이라고 예상할 수 있습니다. 따라서 결과는 두 테이블을 조인한 결과가 나올 것으로 예상됩니다.",3,1
58,분산 데이터베이스 시스템(Distributed Database System)에 대한 설명으로 틀린 것은?,분산 데이터베이스는 논리적으로는 하나의 시스템에 속하지만 물리적으로는 여러 개의 컴퓨터 사이트에 분산되어 있다.,"위치 투명성, 중복 투명성, 병행 투명성, 장애 투명성을 목표로 한다.","데이터베이스의 설계가 비교적 어렵고, 개발 비용과 처리 비용이 증가한다는 단점이 있다.","분산 데이터베이스 시스템의 주요 구성 요소는 분산 처리기, P2P 시스템, 단일 데이터베이스 등이 있다.",4,"분산 데이터베이스 시스템, 단일 데이터베이스, ","분산 데이터베이스 시스템은 하나의 논리적인 데이터베이스를 여러 개의 물리적인 데이터베이스로 분산시키는 시스템을 말합니다. 따라서 단일 데이터베이스가 아닌 여러 개의 데이터베이스로 분산되어 있는 것이 특징이며, 이를 통해 데이터의 가용성과",3,1
59,"테이블 두 개를 조인하여 뷰 V_1을 정의하고, V_1을 이용하여 뷰 V_2를 정의하였다. 다음 명령 수행 후 결과로 옳은 것은?",V_1만 삭제된다.,V_2만 삭제된다.,V_1과 V_2 모두 삭제된다.,V_1과 V_2 모두 삭제되지 않는다.,3,"뷰, 조인, ","뷰는 기본 테이블을 기반으로 생성되기 때문에, 기본 테이블이나 다른 뷰가 삭제되면 해당 뷰도 함께 삭제된다. 따라서, 테이블 두 개를 조인하여 생성된 뷰 V_1을 이용하여 생성된 뷰 V_2는 V_1에 의존적이므로 V_1이 삭제되면 V_2도 함께 삭제된다. 따라서, 선",3,1
60,데이터베이스에서 병행제어의 목적으로 틀린 것은?,시스템 활용도 최대화,사용자에 대한 응답시간 최소화,데이터베이스 공유 최소화,데이터베이스 일관성 유지,3,"병행제어, 데이터베이스 일관성, ","병행제어는 데이터베이스에서 여러 사용자가 동시에 데이터를 접근하고 수정할 때 발생할 수 있는 문제를 해결하기 위한 기술이다. 이를 통해 데이터베이스의 일관성을 유지하고, 데이터베이스 공유를 최소화하여 시스템 활용도를 최대화하며 사용자에 대한 응답시간을 최소화할 수 있다",3,1
61,IP 주소체계와 관련한 설명으로 틀린 것은?,IPv6의 패킷 헤더는 32 octet의 고정된 길이를 가진다.,IPv6는 주소 자동설정(Auto Configuration) 기능을 통해 손쉽게 이용자의 단말을 네트워크에 접속시킬 수 있다.,IPv4는 호스트 주소를 자동으로 설정하며 유니캐스트(Unicast)를 지원한다.,IPv4는 클래스별로 네트워크와 호스트 주소의 길이가 다르다.,1,"IPv6, 패킷 헤더, ","IPv6의 패킷 헤더는 40 octet의 고정된 길이를 가지며, 32 octet이 아닌 40 octet의 길이를 가진다.",4,1
62,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는?","7, 5","8, 5","8, 9","7, 9",3,"포인터, ","이 프로그램은 포인터를 사용하여 변수의 값을 변경하는 예제이다. 먼저 x와 y 변수를 선언하고, 이들의 값을 바꾸는 swap 함수를 정의한다. 그 후 main 함수에서 x와 y 값을 7과 8로 초기화하고 swap 함수를 호출한다. swap 함수 내에서는 포인터를 통해 x와 y 값을 서로 바꾸게 된다. 최종적으로 main 함수에서 x와 y 값을 출력하면, x는 8이 되고 y는 7이",4,1
63,OSI 7계층 중 데이터링크 계층에 해당되는 프로토콜이 아닌 것은?,HTTP,HDLC,PPP,LLC,1,데이터링크 계층,"OSI 7계층 중 데이터링크 계층은 네트워크 장비 간의 데이터 전송을 담당하는 계층으로, 프레임 단위의 데이터 전송과 오류 제어를 수행한다. 이 중에서 HTTP는 응용 계층 프로토콜이므로 데이터링크 계층에 해당되지 않는다.",4,1
64,"C언어에서 두 개의 논리 값 중 하나라도 참이면 1을, 모두 거짓이면 0을 반환하는 연산자는?",||,&&,**,!=,1,"논리 연산자, ","논리 연산자는 논리 값(참 또는 거짓)을 이용하여 연산을 수행하는 연산자이다. 두 개의 논리 값 중 하나라도 참이면 1을 반환하는 논리 연산자는 ||(OR) 연산자이다. 따라서, 두 개의 논리 값 중 하나라도 참이면 1을 반환하는 경우에는 ||(OR) 연산자를 사용하면 된다.",4,1
65,IPv6에 대한 특성으로 틀린 것은?,표시방법은 8비트씩 4부분의 10진수로 표시한다.,2128개의 주소를 표현할 수 있다.,"등급별, 서비스별로 패킷을 구분할 수 있어 품질보장이 용이하다.",확장기능을 통해 보안기능을 제공한다.,1,"8비트씩 4부분, 2128개의 주소, ","IPv6는 128비트로 구성되며, 8비트씩 4부분의 16진수로 표시된다. 이를 통해 총 2128개의 주소를 표현할 수 있다. 따라서, 선지 1과 선지 2는 맞는 설명이지만, 선지 3과 선지 4는 IPv6의 특성과는 관련이 없다.",4,1
66,JAVA의 예외(exception)와 관련한 설명으로 틀린 것은?,문법 오류로 인해 발생한 것,오동작이나 결과에 악영향을 미칠 수 있는 실행 시간 동안에 발생한 오류,배열의 인덱스가 그 범위를 넘어서는 경우 발생하는 오류,존재하지 않는 파일을 읽으려고 하는 경우에 발생하는 오류,1,예외(exception),"JAVA의 예외는 프로그램 실행 중 발생하는 오류를 처리하기 위한 메커니즘으로, 문법 오류나 실행 시간 동안 발생하는 오류 등을 처리할 수 있다. 하지만, 문법 오류는 예외가 아닌 컴파일 오류이므로, ""문법 오류로 인해 발생한 것""이라는 설명이 틀린 것이다.",4,1
67,TCP/IP 계층 구조에서 IP의 동작 과정에서의 전송 오류가 발생하는 경우에 대비해 오류 정보를 전송하는 목적으로 사용하는 프로토콜은?,ECP(Error Checking Protocol),ARP(Address Resolution Protocol),ICMP(Internet Control Message Protocol),PPP(Point-to-Point Protocol),3,"IP의 동작 과정, 전송 오류, 오류 정보, 프로토콜","IP의 동작 과정에서 전송 오류가 발생하는 경우에 대비해 오류 정보를 전송하는 목적으로 사용되는 프로토콜은 ICMP(Internet Control Message Protocol)입니다. ICMP는 네트워크에서 발생하는 오류 메시지를 전송하고, 네트워크의 상태를 모니터링하는 역할을 합니다.",4,1
68,좋은 소프트웨어 설계를 위한 소프트웨어의 모듈간의 결합도(Coupling)와 모듈 내 요소 간 응집도(Cohesion)에 대한 설명으로 옳은 것은?,응집도는 낮게 결합도는 높게 설계한다.,응집도는 높게 결합도는 낮게 설계한다.,양쪽 모두 낮게 설계한다.,양쪽 모두 높게 설계한다.,2,"결합도, 응집도, ","결합도는 모듈 간의 상호 의존성을 나타내며, 이를 낮추는 것이 바람직하다. 반면 응집도는 모듈 내부의 요소들이 하나의 목적을 위해 잘 묶여 있는 정도를 나타내며, 이를 높이는 것이 바람직하다. 따라서 옳은 설계는 응집도는 높게, 결합도는 낮",4,1
69,다음과 같은 형태로 임계 구역의 접근을 제어하는 상호배제 기법은?,Dekker Algorithm,Lamport Algorithm,Peterson Algorithm,Semaphore,4,"상호배제, 임계 구역","상호배제 기법은 여러 프로세스 또는 스레드가 공유 자원에 접근할 때, 동시에 접근하지 못하도록 제어하는 기법을 의미합니다. 임계 구역은 공유 자원에 대한 접근을 제어해야 하는 코드 영역을 말합니다. Peterson Algorithm과 Dekker Algorithm은 상호배제를 위한 대표적인 알고",4,1
70,소프트웨어 개발에서 모듈(Module)이 되기 위한 주요 특징에 해당하지 않는 것은?,다른 것들과 구별될 수 있는 독립적인 기능을 가진 단위(Unit)이다.,독립적인 컴파일이 가능하다.,유일한 이름을 가져야 한다.,다른 모듈에서의 접근이 불가능해야 한다.,4,"다른 모듈에서의 접근이 불가능해야 한다., ","모듈은 다른 모듈들과 상호작용하기 위한 인터페이스를 제공하고, 다른 모듈들이 해당 모듈의 기능을 활용할 수 있어야 합니다. 따라서 다른 모듈에서의 접근이 불가능한 것은 모듈이 아니라고 볼 수 있습니다.",4,1
71,"빈 기억공간의 크기가 20KB, 16KB, 8KB, 40KB 일 때 기억장치 배치 전략으로 “Best Fit""을 사용하여 17KB의 프로그램을 적재할 경우 내부단편화의 크기는 얼마인가?",3KB,23KB,64KB,67KB,1,"Best Fit, 내부단편화, ","Best Fit 전략은 사용 가능한 기억 공간 중에서 가장 작은 공간에 프로그램을 할당하는 전략입니다. 따라서 17KB의 프로그램을 20KB, 16KB, 8KB, 40KB의 기억 공간 중에서 가장 작은 20KB에 할당하게 됩니다. 이로 인해 20KB - 17KB = 3KB의 내부단편화가 발생하게 됩니다.",4,1
72,"다음 C언어프로그램이 실행되었을 때, 실행 결과는?",i = 0,i = 1,i = 3,i = 4,4,"반복문, 증감식, ","주어진 프로그램은 반복문을 사용하여 변수 i를 0부터 4까지 1씩 증가시키면서 출력하는 프로그램이다. 따라서 프로그램이 실행되면 i의 값은 4가 되므로, 정답은 ""선지 4: i = 4""가 될 것이다.",4,1
73,"다음 JAVA 프로그램이 실행되었을 때, 실행 결과는?",BCDABCA,BCDABCC,CDDACCC,CDDACCA,2,"StringBuilder, append, ","주어진 코드는 StringBuilder를 사용하여 문자열을 조작하고 출력하는 프로그램이다. StringBuilder는 문자열을 효율적으로 조작할 수 있는 클래스이며, append 메소드를 사용하여 문자열을 추가할 수 있다. 주어진 코드에서는 StringBuilder에 A, B, C, D를 순서대로 추가한 후, 다시 역순으로 추가하는 과정을 반복하고, 마지막으로 StringBuilder의 toString 메소드를 사용하여 문자열을 출력한다. 이에 따라 실행 결과는 ""BC",4,1
74,개발 환경 구성을 위한 빌드(Build) 도구에 해당하지 않는 것은?,Ant,Kerberos,Maven,Gradle,2,빌드 도구,"빌드 도구는 소프트웨어 개발 환경에서 소스 코드를 컴파일하고 패키징하는 등의 작업을 자동화하기 위해 사용되는 도구이다. Kerberos는 네트워크 인증 프로토콜로, 빌드 도구와는 관련이 없다. 따라서 Kerberos가 개발 환경 구성을 위한 빌드 도구에 해당하지 않는 것",4,1
75,"3개의 페이지 프레임을 갖는 시스템에서 페이지 참조 순서가 1, 2, 1, 0, 4, 1, 3 일 경우 FIFO 알고리즘에 의한 페이지 교체의 경우 프레임의 최종 상태는?","1, 2, 0","2, 4, 3","1, 4, 2","4, 1, 3",4,"FIFO 알고리즘, 페이지 교체, ","FIFO 알고리즘은 가장 먼저 들어온 페이지를 먼저 교체하는 방식으로 동작합니다. 이 문제에서는 페이지 참조 순서가 주어졌을 때, 페이지 프레임이 가득 찼을 때 새로운 페이지가 들어와야 할 경우 가장 먼저 들어온 페이지를 교체하게 됩니다. 따라서 페이지 참조 순서에 따라 페이지가",4,1
76,"다음 C언어 프로그램이 실행되었을 때, 실행 결과는?",E,V,R,O,3,"포인터, ","이 프로그램은 포인터를 사용하여 문자열을 출력하는 예제이다. 포인터는 다른 변수의 메모리 주소를 저장하는 변수이며, 이를 사용하여 문자열을 출력할 수 있다. 이 프로그램은 'HELLO'라는 문자열을 포인터를 사용하여 한 글자씩 출력하는 예제이다. 따라서 실행 결과는 'HELLO' 문자열의 각 글자인 'H', 'E', 'L', 'L', 'O'가 출력되어 'HELLO'가 출력",4,1
77,"다음 Python 프로그램이 실행되었을 때, 실행 결과는?",,,,,1,"nan, ","nan은 ""Not a Number""의 약자로, 숫자가 아닌 값을 나타내는 특별한 값이다. 이 값은 주로 수학적 연산에서 유효하지 않은 결과를 나타내거나, 데이터가 누락되었을 때 사용된다. 만약 프로그램에서 nan이 출력된다면, 해당 값이 유효한 숫자가 아니거나 데이터가 비어있음을 나타낸다.",4,1
78,"C언어에서 정수 변수 a, b에 각각 1, 2가 저장되어 있을 때 다음 식의 연산 결과로 옳은 것은?",0,1,3,5,2,"정수 변수, 연산 결과, ","정수 변수 a에 1이 저장되어 있고, 정수 변수 b에 2가 저장되어 있으므로 a + b는 1 + 2로 계산되어 3이 됩니다. 따라서 옳은 답은 '선지 3: 3'입니다.",4,1
79,"다음 Python 프로그램이 실행되었을 때, 실행 결과는?",,,,,2,"nan, ","nan은 ""Not a Number""의 약자로, 숫자가 아닌 값을 나타내는 특수한 값입니다. 주로 계산 중에 발생한 오류나 정의되지 않은 수학적 연산의 결과로 사용됩니다. 만약 프로그램이 nan을 출력한다면, 해당 연산이 올바르게 이루어지지 않았거나 잘못된 값이 사용되었음을 의미할 수 있습니다.",4,1
80,UNIX 시스템의 쉘(shell)의 주요 기능에 대한 설명이 아닌 것은?,사용자 명령을 해석하고 커널로 전달하는 기능을 제공한다.,반복적인 명령 프로그램을 만드는 프로그래밍 기능을 제공한다.,쉘 프로그램 실행을 위해 프로세스와 메모리를 관리한다.,초기화 파일을 이용해 사용자 환경을 설정하는 기능을 제공한다.,3,프로그래밍 기능,쉘은 사용자가 반복적으로 사용하는 명령어들을 스크립트로 작성하여 프로그래밍적으로 실행할 수 있는 기능을 제공한다. 이를 통해 사용자는 자동화된 작업을 수행하거나 복잡한 명령어들을 간편하게 실행할 수 있다.,4,1
81,소프트웨어 생명주기 모델 중 나선형 모델(Spiral Model)과 관련한 설명으로 틀린 것은??,소프트웨어 개발 프로세스를 위험 관리(Risk Management) 측면에서 본 모델이다.,위험 분석(Risk Analysis)은 반복적인 개발 진행 후 주기의 마지막 단계에서 최종적으로 한 번 수행해야 한다.,시스템을 여러 부분으로 나누어 여러 번의 개발 주기를 거치면서 시스템이 완성된다.,요구사항이나 아키텍처를 이해하기 어렵다거나 중심이 되는 기술에 문제가 있는 경우 적합한 모델이다.,2,"위험 관리(Risk Management), 위험 분석(Risk Analysis), ","나선형 모델은 소프트웨어 개발 과정에서 위험 관리를 중요시하며, 위험 분석은 반복적으로 수행하여 프로젝트의 위험을 최소화하는 것이 중요하다. 이에 따라 선지 2가 틀린 설명이다.",5,1
82,정보시스템과 관련한 다음 설명에 해당하는 것은?,고가용성 솔루션(HACMP),점대점 연결 방식(Point-to-Point Mode),스턱스넷(Stuxnet),루팅(Rooting),1,고가용성 솔루션(HACMP),"고가용성 솔루션이란 시스템이나 서비스가 중단되지 않고 계속적으로 이용 가능한 상태를 유지하는 것을 말합니다. HACMP는 High Availability Cluster Multiprocessing의 약자로, 여러 대의 서버를 클러스터로 구성하여 하나의 서버가 다운되더라도 다른 서버가 역할을 대신 수행하여 시스템의 가용성을 보장하는 솔",5,1
83,"위조된 매체 접근 제어(MAC) 주소를 지속적으로 네트워크로 흘려보내, 스위치 MAC 주소 테이블의 저장 기능을 혼란시켜 더미 허브(Dummy Hub)처럼 작동하게 하는 공격은?",Parsing,LAN Tapping,Switch Jamming,FTP Flooding,3,"MAC 주소 테이블, 공격","해당 공격은 MAC 주소 테이블을 혼란시켜 스위치를 더미 허브처럼 작동하게 만드는 것이다. 이는 MAC 주소를 위조하여 네트워크로 계속 보내는 공격으로, 스위치의 효율적인 동작을 방해하고 네트워크의 보안을 약화시킬 수 있다.",5,1
84,다음 내용이 설명하는 스토리지 시스템은?,DAS,NAS,BSA,NFC,1,스토리지 시스템,"스토리지 시스템은 데이터를 저장하고 관리하는 시스템을 말합니다. 다양한 형태의 스토리지 시스템 중에서 DAS는 직접 연결된 스토리지 시스템을 나타내며, NAS는 네트워크를 통해 연결된 스토리지 시스템을 의미합니다. BSA와 NFC는 해당 문제와는 관련이 없는",5,1
85,취약점 관리를 위해 일반적으로 수행하는 작업이 아닌 것은?,무결성 검사,응용 프로그램의 보안 설정 및 패치(Patch) 적용,중단 프로세스 및 닫힌 포트 위주로 확인,불필요한 서비스 및 악성 프로그램의 확인과 제거,3,"무결성 검사, ","취약점 관리를 위해 일반적으로 수행하는 작업 중에는 무결성 검사가 포함되지 않습니다. 무결성 검사는 데이터의 무결성을 확인하기 위한 작업으로, 주로 데이터베이스나 파일 시스템에서 사용됩니다. 취약점 관리는 주로 시스템의 보안 취약점을 식별하고 보완하는 작업을 포함하므로, 무결",5,1
86,소프트웨어 생명주기 모델 중 V 모델과 관련한 설명으로 틀린 것은?,요구 분석 및 설계단계를 거치지 않으며 항상 통합 테스트를 중심으로 V 형태를 이룬다.,Perry에 의해 제안되었으며 세부적인 테스트 과정으로 구성되어 신뢰도 높은 시스템을 개발하는데 효과적이다.,개발 작업과 검증 작업 사이의 관계를 명확히 드러내 놓은 폭포수 모델의 변형이라고 볼 수 있다.,폭포수 모델이 산출물 중심이라면 V 모델은 작업과 결과의 검증에 초점을 둔다.,1,"V 모델, 통합 테스트, ","V 모델은 요구 분석 및 설계를 거치지 않고도 항상 통합 테스트를 중심으로 진행되는 것이 아니라, 개발 작업과 검증 작업 사이의 관계를 명확히 드러내 놓은 모델이다. 따라서, ""요구 분석 및 설계단계를 거치지 않으며 항상 통",5,1
87,블루투스(Bluetooth) 공격과 해당 공격에 대한 설명이 올바르게 연결된 것은?,블루버그(BlueBug) - 블루투스의 취약점을 활용하여 장비의 파일에 접근하는 공격으로 OPP를 사용하여 정보를 열람,블루스나프(BlueSnarf) - 블루투스를 이용해 스팸처럼 명함을 익명으로 퍼뜨리는 것,블루프린팅(BluePrinting) - 블루투스 공격 장치의 검색 활동을 의미,블루재킹(BlueJacking) - 블루투스 장비사이의 취약한 연결 관리를 악용한 공격,3,"블루투스, 공격, ",블루버그(BlueBug)는 블루투스의 취약점을 이용하여 장비의 파일에 접근하는 공격이다. OPP(오브젝트 푸시 프로파일)를 사용하여 정보를 열람하는 것이 특징이다.,5,1
88,DoS(Denial of Service) 공격과 관련한 내용으로 틀린 것은?,Ping of Death 공격은 정상 크기보다 큰 ICMP 패킷을 작은 조각(Fragment)으로 쪼개어 공격 대상이 조각화 된 패킷을 처리하게 만드는 공격 방법이다.,Smurf 공격은 멀티캐스트(Multicast)를 활용하여 공격 대상이 네트워크의 임의의 시스템에 패킷을 보내게 만드는 공격이다.,SYN Flooding은 존재하지 않는 클라이언트가 서버별로 한정된 접속 가능 공간에 접속한 것처럼 속여 다른 사용자가 서비스를 이용하지 못하게 하는 것이다.,Land 공격은 패킷 전송 시 출발지 IP주소와 목적지 IP주소 값을 똑같이 만들어서 공격 대상에게 보내는 공격 방법이다.,2,SYN Flooding,SYN Flooding은 공격자가 대량의 SYN 패킷을 보내어 서버의 접속 가능한 자원을 모두 소진시키는 공격 방법이다. 이로 인해 정상 사용자들이 서버에 접속하지 못하게 만들어 서비스 거부 상태로 만들 수 있다.,5,1
89,다음 설명에 해당하는 시스템은?,Apache,Hadoop,Honeypot,MapReduce,3,분산 데이터 처리,"분산 데이터 처리를 위해 사용되는 시스템으로, 대용량 데이터를 효율적으로 처리하고 분석하는데 사용된다. MapReduce와 Hadoop이 이에 해당한다.",5,1
90,다음이 설명하는 IT 기술은?,StackGuard,Docker,Cipher Container,Scytale,2,"Container, 보안","Docker와 Cipher Container은 컨테이너 기술을 이용한 보안 기술이다. Docker는 컨테이너를 사용하여 애플리케이션을 격리하는 기술이며, Cipher Container는 컨테이너 내부의 데이터를 암호화하여 보호하는 기술이다.",5,1
91,간트 차트(Gantt Chart)에 대한 설명으로 틀린 것은?,프로젝트를 이루는 소작업 별로 언제 시작되고 언제 끝나야 하는지를 한 눈에 볼 수 있도록 도와준다.,자원 배치 계획에 유용하게 사용된다.,CPM 네트워크로부터 만드는 것이 가능하다.,수평 막대의 길이는 각 작업(Task)에 필요한 인원수를 나타낸다.,4,"CPM 네트워크, 수평 막대, ","간트 차트는 CPM 네트워크로부터 만드는 것이 가능하며, 각 작업에 필요한 인원수를 나타내는 수평 막대의 길이를 통해 자원 배치 계획에 유용하게 활용된다. 따라서, 수평 막대의 길이가 각 작업에 필요한 인원수를 나타내는 것은 틀린",5,1
92,Python 기반의 웹 크롤링(Web Crawling) 프레임워크로 옳은 것은?,Li-fi,Scrapy,CrawlCat,SBAS,2,"웹 크롤링(Web Crawling), 프레임워크, ","웹 크롤링은 웹 사이트를 자동으로 탐색하여 정보를 수집하는 작업을 말하며, 이를 위해 다양한 프레임워크가 개발되어 있습니다. Scrapy는 Python 기반의 웹 크롤링 프레임워크로, 사용자가 웹 사이트 구조를 정의하고 데이터를 추출하는 작업을 쉽게 할 수 있도록",5,1
93,Secure 코딩에서 입력 데이터의 보안 약점과 관련한 설명으로 틀린 것은?,SQL 삽입 : 사용자의 입력 값 등 외부 입력 값이 SQL 쿼리에 삽입되어 공격,크로스사이트 스크립트 : 검증되지 않은 외부 입력 값에 의해 브라우저에서 악의적인 코드가 실행,운영체제 명령어 삽입 : 운영체제 명령어 파라미터 입력 값이 적절한 사전검증을 거치지 않고 사용되어 공격자가 운영체제 명령어를 조작,자원 삽입 : 사용자가 내부 입력 값을 통해 시스템 내에 사용이 불가능한 자원을 지속적으로 입력함으로써 시스템에 과부하 발생,4,입력 데이터의 보안 약점,"입력 데이터의 보안 약점은 외부 입력 값이 적절한 검증 없이 시스템에 삽입되어 공격을 일으킬 수 있는 취약점을 말한다. 이를 통해 SQL 삽입, 크로스사이트 스크립트, 운영체제 명령어 삽입, 자원 삽입 등의 공격이 발생할 수 있다. 이러한 보안",5,1
94,Windows 파일 시스템인 FAT와 비교했을 때의 NTFS의 특징이 아닌 것은?,보안에 취약,대용량 볼륨에 효율적,자동 압축 및 안정성,저용량 볼륨에서의 속도 저하,1,"NTFS, FAT, 대용량 볼륨","NTFS는 FAT에 비해 대용량 볼륨에 효율적이며, 자동 압축 및 안정성을 제공하는 파일 시스템이지만, 보안에 취약하거나 저용량 볼륨에서의 속도 저하가 있는 것은 아닙니다. 따라서 ""보안에 취약""이라는 특징이 아닌 것을 찾는 것이 정답입니다.",5,1
95,DES는 몇 비트의 암호화 알고리즘인가?,8,24,64,132,3,"DES, 암호화 알고리즘, ",DES(Data Encryption Standard)는 64비트의 암호화 알고리즘이다. DES는 초기에는 안전하다고 여겨졌지만 현재는 안전하지 않다고 판단되어 더 강력한 암호화 알고리즘들이 사용되고 있다.,5,1
96,리눅스에서 생성된 파일 권한이 644일 경우 umask 값은?,22,666,777,755,1,"umask, 파일 권한, ","umask 값은 새로운 파일이나 디렉토리를 생성할 때 기본 권한을 설정하는 데 사용되는 값이다. umask 값이 022이면 새로운 파일의 권한은 644이 되며, 이는 소유자에게 읽기와 쓰기 권한, 그룹과 다른 사용자에게 읽기 권한만 부여된 권한을 의미한다. 따라서 정답은 선지",5,1
97,다음 내용이 설명하는 로그 파일은?,tapping,xtslog,linuxer,wtmp,4,"로그 파일, 사용자 활동, ","이 문제에서는 다양한 종류의 로그 파일을 설명하고 있다. 로그 파일은 시스템이나 프로그램의 작동 상태나 사용자의 활동을 기록하는 파일이다. 이 중에서도 tapping, xtslog, linuxer, wtmp 등은 사용자의 활동을 기록하는 로그 파일일 수 있다. 사용자 활동 로그 파일은 사용자가 시스템에 로그인한 시간, 로그아웃한 시간, 어떤",5,1
98,상향식 비용 산정 기법 중 LOC(원시 코드 라인 수) 기법에서 예측치를 구하기 위해 사용하는 항목이 아닌 것은?,낙관치,기대치,비관치,모형치,4,"예측치, LOC(원시 코드 라인 수) 기법, ","LOC(원시 코드 라인 수) 기법은 소프트웨어 개발 프로젝트의 비용을 산정할 때 사용되는 상향식 비용 산정 기법 중 하나이며, 프로젝트의 규모를 측정하기 위해 사용된다. 낙관치, 기대치, 비관치는 예측치를 구하기 위해 사용되는 항목들이",5,1
99,"OSI 7 Layer 전 계층의 프로토콜과 패킷 내부의 콘텐츠를 파악하여 침입 시도, 해킹 등을 탐지하고 트래픽을 조정하기 위한 패킷 분석 기술은?",PLCP(Packet Level Control Processor),Traffic Distributor,Packet Tree,DPI(Deep Packet Inspection),4,"패킷 분석 기술, 침입 시도 탐지, 해킹 탐지, 트래픽 조정","OSI 7 Layer 전 계층의 프로토콜과 패킷 내부의 콘텐츠를 분석하여 침입 시도, 해킹 등을 탐지하고 트래픽을 조정하기 위한 기술은 DPI(Deep Packet Inspection)입니다. DPI는 패킷 내부의 데이터를 깊이",5,1
100,소프트웨어 개발 방법론의 테일러링(Tailoring)과 관련한 설명으로 틀린 것은?,프로젝트 수행 시 예상되는 변화를 배제하고 신속히 진행하여야 한다.,"프로젝트에 최적화된 개발 방법론을 적용하기 위해 절차, 산출물 등을 적절히 변경하는 활동이다.",관리 측면에서의 목적 중 하나는 최단기간에 안정적인 프로젝트 진행을 위한 사전 위험을 식별하고 제거하는 것이다.,기술적 측면에서의 목적 중 하나는 프로젝트에 최적화된 기술 요소를 도입하여 프로젝트 특성에 맞는 최적의 기법과 도구를 사용하는 것이다.,1,"예상되는 변화, 최적화된 개발 방법론","테일러링은 프로젝트의 특성과 요구사항에 맞게 개발 방법론을 조정하는 활동이지만, 예상되는 변화를 배제하고 신속히 진행하는 것은 올바른 방법이 아니다. 테일러링은 오히려 프로젝트에 최적화된 개발 방법론을 적용하기 위",5,1
